,City,Country,Max Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
81,Chamba,IN,36.72,32.56,76.12,82,92,2.17
82,Albany,US,28.4,42.65,-73.75,71,90,17.22
84,Qaanaaq,GL,-18.01,77.48,-69.36,100,0,9.22
85,Saskylakh,RU,-49.15,71.97,114.09,0,0,5.64
86,Cap Malheureux,MU,82.4,-19.98,57.61,83,40,9.17
87,Kruisfontein,ZA,66.78,-34,24.73,84,32,11.23
88,Bredasdorp,ZA,71.6,-34.53,20.04,56,20,21.92
89,Kropotkin,RU,30.64,45.43,40.58,73,76,11.23
90,Sheridan,US,57.2,39.65,-105.03,23,75,5.82
91,Avarua,CK,77,-21.21,-159.78,73,40,11.41
92,Thompson,CA,-5.81,55.74,-97.86,76,90,4.7
95,Cherskiy,RU,-8.96,68.75,161.3,33,0,3.4
96,Yellowknife,CA,-14.81,62.45,-114.38,75,75,12.75
97,Goderich,CA,22.95,43.74,-81.71,88,64,19.28
99,Nikolskoye,RU,23,59.7,30.79,85,90,6.71
100,Mogadishu,SO,79.47,2.04,45.34,99,0,21.74
101,Hamilton,BM,64.4,32.3,-64.78,68,75,23.04
102,Iqaluit,CA,-23.81,63.75,-68.52,67,75,14.99
103,Corby,GB,44.6,52.49,-0.7,100,40,9.17
104,Mahebourg,MU,82.4,-20.41,57.7,83,40,9.17
105,Aklavik,CA,-27.41,68.22,-135.01,67,75,6.93
107,Atar,MR,80.6,20.52,-13.05,14,0,11.41
108,Boca do Acre,BR,79.69,-8.76,-67.39,81,92,2.95
109,Ribeira Grande,PT,59,38.52,-28.7,62,40,11.41
110,Constitucion,MX,64.4,23.99,-104.67,34,5,4.7
111,Biak,ID,76.86,-0.91,122.88,100,44,2.73
112,Canon City,US,33.84,39.46,-117.13,85,0,3.4
113,Kahului,US,69.8,20.89,-156.47,93,40,3.36
114,New Norfolk,AU,59,-42.78,147.06,72,75,4.7
115,Upernavik,GL,-5.23,72.79,-56.15,100,8,2.17
116,Esperance,TT,86,10.24,-61.45,58,40,14.99
117,Ust-Kuyga,RU,-40.73,70,135.55,88,68,3.74
120,Bambous Virieux,MU,82.4,-20.34,57.76,83,40,9.17
121,Galbshtadt,RU,-0.86,53.23,78.98,79,44,3.96
122,Barrow,AR,56.52,-38.31,-60.23,93,92,9.55
123,Sorong,ID,82.39,-0.86,131.25,100,8,7.99
124,East London,ZA,69.8,-33.02,27.91,77,20,11.41
125,Brawley,US,68,32.98,-115.53,35,20,6.93
126,Waipawa,NZ,65.34,-39.94,176.59,82,24,11.23
127,Copiapo,CL,71.6,-27.37,-70.33,56,40,9.17
129,Jabinyanah,TN,53.6,35.03,10.91,62,20,2.24
131,Karratha,AU,88.2,-20.74,116.85,14,0,13.58
132,Kimberley,ZA,82.4,-28.74,24.76,11,0,9.17
133,Paamiut,GL,28.71,61.99,-49.67,100,80,6.98
134,Rosarito,CO,77,4.91,-75.23,69,75,13.87
135,Faanui,PF,84.01,-16.48,-151.75,100,76,17.38
136,Salalah,OM,73.4,17.01,54.1,73,0,4.7
137,Darnah,LY,63.49,32.77,22.64,98,0,20.29
138,Tabou,CI,82.71,4.42,-7.36,100,32,10.45
139,Westport,IE,46.4,53.8,-9.52,81,75,3.36
140,Port Alfred,ZA,69.12,-33.59,26.89,85,12,12.01
141,Samarai,PG,82.62,-10.62,150.67,100,56,9.1
142,Fairbanks,US,-23.44,64.84,-147.72,76,90,3.4
143,Casas Grandes,MX,58.14,30.15,-110.24,53,100,2.62
144,Cusco,PE,66.2,-13.52,-71.98,39,75,2.17
146,Saint-Philippe,CA,21.2,45.36,-73.48,77,90,15.37
147,Ixtapa,MX,82.4,20.71,-105.21,65,5,1.39
148,Ekibastuz,KZ,2.97,51.72,75.32,84,68,3.18
149,Nangomba,TZ,74.11,-10.9,38.52,94,12,4.29
150,Grand Baie,MU,82.4,-20.02,57.58,83,40,9.17
151,Leningradskiy,RU,5.17,69.38,178.42,95,76,22.08
152,Richmond,CA,51.98,49.16,-123.14,74,90,12.75
153,Guerrero Negro,MX,61.02,27.97,-114.04,92,92,3.4
154,Vostok,RU,-3.7,46.45,135.83,73,0,2.73
155,Enterprise,US,55.04,31.32,-85.86,32,1,10.29
157,Fontanka,UA,35.6,46.56,30.86,100,90,11.18
158,Haimen,CN,42.3,31.87,121.18,100,92,7.31
159,Khandyga,RU,-44.24,62.65,135.58,0,20,2.62
160,Severo-Kurilsk,RU,11.29,50.68,156.12,100,8,4.97
161,Kendari,ID,74.92,-3.99,122.52,95,76,2.73
162,Savelugu,GH,92.47,9.63,-0.83,27,0,2.73
163,Dunedin,NZ,49.32,-45.87,170.5,100,92,4.97
165,Longyearbyen,NO,21.2,78.22,15.63,73,90,36.91
166,Bireun,ID,81.27,5.2,96.7,100,12,7.31
167,Auki,NG,77.26,12.18,6.51,39,0,3.74
168,Tikapur,NP,41.31,28.53,81.12,78,0,2.73
169,Padang,ID,80.37,-0.92,100.36,100,80,0.38
170,Hambantota,LK,78.8,6.12,81.12,88,75,11.41
171,Jamestown,AU,54.63,-33.21,138.6,71,0,6.31
172,Sao Filipe,CV,73.8,14.9,-24.5,92,92,16.04
173,Tervel,BG,33.79,43.43,26.76,99,92,4.29
175,Arraial do Cabo,BR,89.6,-22.97,-42.02,45,0,20.8
176,Chinhoyi,ZW,66.87,-17.36,30.19,97,92,2.73
178,Bandarbeyla,SO,76.86,9.49,50.81,100,8,20.07
179,Monrovia,LR,82.4,6.33,-10.8,78,20,5.64
180,Omsukchan,RU,-27.01,62.53,155.8,76,68,2.95
182,Kochevo,BG,33.8,42.1,24.92,100,90,5.82
183,Dongtai,CN,36.76,32.85,120.31,94,56,4.18
184,Herat,AF,34.69,34.35,62.22,93,36,2.73
185,Pokhara,NP,35.59,28.21,83.99,81,0,2.06
186,Tupelo,US,44.6,34.26,-88.7,48,1,6.93
187,Saint-Joseph,FR,41,43.56,6.97,48,0,6.93
188,Bell Ville,AR,60.34,-32.63,-62.69,97,92,19.06
189,Kearney,US,39.92,40.7,-99.08,63,1,5.82
190,Alofi,NU,77,-19.06,-169.92,100,92,3.36
191,Vila Franca do Campo,PT,57.2,37.72,-25.43,71,20,13.87
192,Portland,US,51.98,45.52,-122.67,86,90,4.52
193,Belturbet,GB,42.34,54.1,-7.44,95,48,5.75
194,Vila Velha,BR,84.2,-3.71,-38.6,66,20,14.99
195,Zemio,CF,72.45,5.02,25.13,79,0,2.84
196,Zilair,RU,-3.74,52.23,57.44,74,32,3.85
197,Tarata,PE,77,-17.47,-70.03,53,75,10.29
198,Kavieng,PG,84.15,-2.57,150.8,100,0,8.21
199,Karaton,ID,80.6,-6.34,106.1,83,40,6.93
200,Slave Lake,CA,10.4,55.28,-114.77,78,20,14.99
201,Banepa,NP,48.2,27.63,85.52,81,75,3.36
202,Carnarvon,ZA,73.66,-30.97,22.13,12,0,12.01
203,Srednekolymsk,RU,-32.59,67.46,153.71,57,48,2.62
204,San Juan,PH,78.8,14.6,121.03,78,40,2.24
205,Tieli,CN,-9.55,46.98,128.05,51,0,2.62
206,Riyadh,SA,53.6,24.63,46.72,34,0,5.82
207,Hanzhong,CN,16.51,33.08,107.03,79,64,2.28
208,Ustye,RU,18.81,58.76,27.79,93,80,6.42
209,Ribas do Rio Pardo,BR,90.22,-20.45,-53.76,58,56,6.64
210,Saint George,GR,51.8,39.45,22.34,62,75,4.7
211,Road Town,VG,82.4,18.42,-64.62,65,40,8.05
212,Lisala,CD,85.68,2.15,21.52,56,80,2.95
213,Port-Gentil,GA,80.6,-0.72,8.78,88,40,5.82
214,Oktyabrskiy,RU,19.4,55.61,37.97,92,75,2.24
215,Zhangjiakou,CN,6.3,40.77,114.88,64,76,2.62
216,Tilichiki,RU,21.19,60.47,166.1,82,56,5.64
217,Dwarka,IN,51.8,28.58,77.04,81,20,2.73
218,Ancud,CL,60.8,-41.87,-73.83,59,0,9.17
219,Madang,PG,73.08,-5.21,145.81,100,92,6.42
220,Mildura,AU,62.6,-34.18,142.16,51,8,5.82
221,Chokurdakh,RU,-34.66,70.62,147.9,64,8,7.65
222,Jardim,BR,90.67,-21.48,-56.15,69,0,9.22
223,Havoysund,NO,32,71,24.66,100,90,40.26
224,Buala,SB,81,-8.15,159.59,95,76,5.97
225,Byron Bay,AU,69.8,-28.65,153.62,94,40,1.12
226,Klaksvik,FO,46.4,62.23,-6.59,93,0,20.8
227,Margate,AU,59,-43.03,147.26,72,75,4.7
228,Fougamou,GA,71.55,-1.22,10.59,98,48,2.62
229,Rio Grande,BR,82.4,-32.03,-52.1,65,40,9.17
230,Kukes,AL,22.23,42.08,20.42,98,92,2.06
231,Murgab,TM,44.6,37.5,61.97,81,90,9.17
232,Linqiong,CN,41,30.42,103.46,86,44,1.83
233,Consett,GB,48.2,54.85,-1.83,87,20,11.41
234,Hasaki,JP,33.8,35.73,140.83,64,20,6.93
236,Orotukan,RU,-22.91,62.26,151.67,63,48,2.84
237,Nyurba,RU,-7.88,63.29,118.35,77,64,3.06
238,Pangody,RU,-26.56,65.85,74.49,41,24,3.18
239,Kapaa,US,68,22.08,-159.32,83,75,6.93
240,Chalchihuites,MX,64.21,23.48,-103.88,23,0,3.74
241,Mahdasht,IR,37.4,35.73,50.81,32,0,4.7
242,Umm Lajj,SA,65.16,25.02,37.27,96,68,11.23
243,Port Augusta,AU,59,-32.49,137.76,82,0,4.7
245,Gandajika,CD,71.19,-6.75,23.95,98,12,6.42
247,Bismil,TR,30.2,37.85,40.66,86,0,3.36
248,Tiznit,MA,57.78,29.7,-9.73,78,0,5.3
249,Luganville,VU,79.56,-15.51,167.18,100,24,7.43
251,Cape Town,ZA,66.2,-33.93,18.42,77,40,12.75
252,Boma,NG,81.22,11.23,4.46,46,0,2.51
253,Teya,MX,78.8,21.05,-89.07,57,75,9.17
254,Mega,ET,70.29,4.06,38.32,28,0,9.78
255,Kamenka,RU,7.74,53.19,44.05,90,56,8.32
256,Lahaina,US,69.8,20.87,-156.68,83,40,4.7
257,Neverkino,RU,6.66,52.79,46.74,78,36,7.2
258,Launceston,AU,51.8,-41.43,147.14,76,40,2.51
259,Antofagasta,CL,69.8,-23.65,-70.4,60,20,13.87
260,Lososina,RU,8.1,49,140.31,100,0,11.01
261,Cap-aux-Meules,CA,32,47.38,-61.86,94,90,13.87
262,Homer,US,19.04,59.64,-151.54,76,75,4.7
263,Coihaique,CL,60.8,-45.58,-72.07,40,75,10.29
264,Alakurtti,RU,18.99,66.96,30.34,82,88,13.13
266,Tacuati,PY,94.23,-23.46,-56.74,53,36,5.3
267,Fort Nelson,CA,-9.41,58.81,-122.69,76,75,4.7
268,Kieta,PG,76.68,-6.22,155.63,100,8,4.97
269,Harper,US,56.3,30.3,-99.24,59,90,5.82
270,Rawson,AR,72.36,-43.3,-65.11,40,0,10.22
271,Arica,CL,77,-18.48,-70.32,61,0,12.75
272,Eureka,US,57.02,40.8,-124.16,100,90,14.99
274,Avera,US,51.08,33.19,-82.53,37,1,3.36
275,Cururupu,BR,74.56,-1.82,-44.87,100,92,4.97
276,Port Elizabeth,US,39.74,39.31,-74.98,43,75,20.8
277,Matagami,NG,75.24,9.67,8.4,39,0,4.18
278,Serramanna,IT,48.2,39.42,8.92,69,20,8.05
279,Lagos,NG,84.2,6.46,3.39,79,20,3.36
280,Guilin,CN,42.8,25.28,110.29,93,90,2.95
281,Benghazi,LY,62.59,32.12,20.07,100,0,19.51
282,Victoria,BN,80.6,5.28,115.24,78,75,6.93
283,Okhotsk,RU,-10.18,59.36,143.24,100,0,10
284,Torbay,CA,41,47.66,-52.73,100,90,11.41
285,Kholm-Zhirkovskiy,RU,10.21,55.52,33.47,80,56,4.41
286,Panjab,AF,19.98,34.38,67.02,86,80,2.39
287,Halifax,CA,35.6,44.65,-63.58,69,75,10.29
288,Furano,JP,20.02,43.28,142.47,83,76,6.31
289,Nome,US,60.08,30.04,-94.42,30,1,6.76
290,Ouadda,CF,75.06,8.07,22.4,48,0,6.31
291,Nongan,CN,3.2,44.43,125.17,77,0,2.24
292,Vardo,US,35.6,39.62,-77.74,44,75,19.46
295,Egvekinot,RU,-24.58,66.32,-179.17,36,36,2.39
296,Kaitangata,NZ,51.39,-46.28,169.85,85,8,17.72
297,Jablunkov,CZ,28.4,49.58,18.76,86,90,4.7
298,Ostersund,SE,41,63.18,14.64,80,75,21.92
299,Biloela,AU,68.94,-24.4,150.51,88,64,7.65
300,Lompoc,US,59,34.64,-120.46,100,75,3.36
301,Beckley,US,23,37.78,-81.19,67,90,11.41
302,Aniva,RU,5,46.71,142.53,84,40,6.71
303,Suntar,RU,-2.62,62.16,117.65,72,56,0.6
305,Acapulco,MX,86,16.86,-99.88,58,20,4.7
306,Flagstaff,US,50,35.2,-111.65,43,90,6.93
307,Mandan,US,21.02,46.83,-100.89,67,1,3.36
308,Caravelas,BR,79.83,-17.73,-39.27,100,8,12.24
309,Brae,GB,48.2,60.4,-1.35,87,92,20.8
310,Flinders,AU,64.4,-34.58,150.85,100,90,3.36
311,Bathsheba,BB,82.4,13.22,-59.52,61,20,13.87
313,Uspenka,UA,27,48.39,39.16,95,88,13.8
314,General Pico,AR,65.47,-35.66,-63.75,86,36,6.31
315,La Ronge,CA,1.4,55.1,-105.3,77,90,9.17
316,Nouadhibou,MR,68,20.93,-17.03,56,0,14.99
318,Watertown,US,27.86,44.9,-97.12,67,1,17.22
319,Ayan,TR,25.87,40.67,33.6,92,92,4.85
320,Tambun,MY,80.6,4.62,101.14,88,75,1.61
321,Ada,US,17.6,47.3,-96.52,66,90,16.11
322,Khuzdar,PK,49.09,27.8,66.62,75,32,4.18
323,Half Moon Bay,US,55.94,37.46,-122.43,80,1,3.36
324,Ponta do Sol,BR,85.77,-20.63,-46,48,0,6.42
325,Jieshi,CN,62.1,22.82,115.83,97,92,8.88
326,Veraval,FR,42.8,49.65,0.71,93,0,3.36
327,Fenoarivo,MG,66.2,-18.93,47.44,100,75,2.24
328,Tiksi,RU,-35.65,71.64,128.87,67,44,3.18
329,Madison,US,24.8,43.07,-89.38,59,40,3.36
330,Folsom,US,55.94,38.68,-121.18,100,75,4.41
332,Japura,ID,74.74,-0.42,102.29,98,100,2.28
335,Talnakh,RU,-30.88,69.49,88.39,51,56,3.62
336,Horsham,AU,51.03,-36.71,142.2,75,0,7.31
338,Suluq,LY,47.61,31.67,20.25,70,0,5.97
339,Namatanai,PG,83.34,-3.66,152.44,100,0,10.33
340,Provideniya,RU,1.08,64.42,-173.23,100,32,25.43
341,Hithadhoo,MV,80.37,-0.6,73.08,100,68,4.97
342,Nosy Varika,MG,80.1,-20.58,48.53,100,44,6.2
344,Ulaanbaatar,MN,-14.81,47.92,106.92,75,0,2.24
345,Manado,ID,75.2,1.49,124.85,100,40,3.36
346,Loreto,PY,95.22,-23.27,-57.32,60,12,12.01
347,Jalu,LY,49.59,29.03,21.55,35,0,6.2
348,Nantucket,US,35.96,41.28,-70.1,59,90,16.11
349,Anchorage,US,14,61.22,-149.89,92,90,2.17
350,Oktyabrskoye,RU,-4.01,56.73,85.44,83,40,4.47
352,Koroni,GR,57.24,36.8,21.96,100,92,22.75
353,Burns Lake,CA,15.03,54.23,-125.76,93,92,2.62
355,Boksburg,ZA,68,-26.21,28.26,82,48,1.12
356,Buraydah,SA,55.4,26.33,43.97,54,0,9.17
357,Toora-Khem,RU,-15.08,52.47,96.11,58,24,1.72
358,Saint-Pierre,FR,33.8,48.95,4.24,79,56,6.93
359,Tateyama,JP,32.26,36.66,137.31,100,92,3.18
360,Nanae,JP,25.65,41.94,140.7,81,32,9.22
361,Terrace,CA,28.4,54.52,-128.61,100,90,3.36
363,Basco,US,26.6,40.33,-91.2,55,1,4.63
364,San Rafael,AR,61.11,-34.61,-68.33,32,36,6.42
365,Pisco,PE,71.6,-13.71,-76.2,30,75,9.17
366,Tatarsk,RU,-13.46,55.22,75.96,63,36,3.18
367,Bethlehem,US,37.94,40.62,-75.38,53,75,17.22
368,Petropavlovsk-Kamchatskiy,RU,-2.21,53.05,158.65,77,8,6.71
369,Opuwo,NA,82.17,-18.06,13.84,19,0,9.44
370,Mayo,CA,-27.41,63.59,-135.9,74,90,2.62
371,Bom Jesus do Itabapoana,BR,85.05,-21.13,-41.68,51,88,8.1
372,Katsuura,JP,50,33.93,134.5,53,75,18.34
373,Rock Sound,BS,71.86,24.9,-76.2,100,88,12.57
374,Ca Mau,VN,77.67,9.18,105.15,90,8,10.78
375,Mayor Pablo Lagerenza,PY,99.22,-19.93,-60.77,37,0,20.96
376,Indianola,US,39.92,40.24,-100.42,64,1,5.3
377,Esmeraldas,BR,86,-19.76,-44.31,40,40,8.05
378,Houma,CN,13.14,35.63,111.36,87,20,1.5
379,Antakya,TR,42.8,36.22,36.17,100,40,16.11
380,Mandalgovi,MN,-9.19,45.76,106.27,57,0,4.29
381,Shelburne,CA,23,44.08,-80.2,85,90,13.87
382,Maniitsoq,GL,9,65.42,-52.9,100,8,8.43
383,Lasa,CY,53.6,34.92,32.53,76,75,9.17
384,Poum,MK,21.6,41.28,20.71,93,76,1.5
385,Port Macquarie,AU,68,-31.43,152.91,100,92,3.36
386,Zhigansk,RU,-40.01,66.77,123.37,86,32,5.41
387,Diffa,NE,72.67,13.32,12.61,25,0,6.87
388,Praia,BR,86,-20.25,-43.81,40,40,8.05
389,Dingle,PH,77.4,11,122.67,78,64,16.82
390,West Bay,GB,44.6,50.71,-2.76,87,90,8.05
391,Charters Towers,AU,72.36,-20.07,146.27,99,92,8.21
392,Shingu,JP,50.44,33.72,135.99,100,0,17.27
393,Bilma,NE,57.87,18.69,12.92,37,0,4.41
394,Vao,EE,20.34,59.1,26.19,87,32,5.97
395,Sobolevo,RU,10.62,54.43,31.9,79,44,2.73
396,Moree,AU,78.8,-29.46,149.84,54,24,14.99
397,Moron,VE,81.94,10.49,-68.2,55,8,3.51
398,Mitsamiouli,KM,82.4,-11.38,43.28,83,20,13.87
399,Dongsheng,CN,36.67,29.72,112.52,99,92,4.18
400,Haverfordwest,GB,44.6,51.8,-4.97,93,20,6.93
401,Kodiak,US,33.8,39.95,-94.76,29,1,11.41
402,Mount Isa,AU,87.8,-20.73,139.49,43,12,9.17
403,Nanortalik,GL,31.68,60.14,-45.24,85,88,29.35
404,Nuevo Progreso,US,73.04,26.05,-97.95,53,90,6.93
405,Pagudpud,PH,71.6,18.56,120.79,94,20,2.24
406,Xinpu,TW,69.8,24.83,121.07,100,75,4.7
407,Tamiahua,MX,70.51,21.28,-97.45,100,44,9.1
408,Manuk Mangkaw,PH,82.62,4.8,119.85,100,36,7.87
409,Innisfail,CA,8.6,52.02,-113.95,84,90,2.24
410,College,US,-18.94,64.86,-147.8,76,90,3.4
411,Isangel,VU,77.13,-19.55,169.27,100,92,6.98
412,Bilibino,RU,0.31,68.06,166.44,61,8,4.74
413,Pangkalanbuun,ID,72.81,-2.68,111.62,98,76,3.18
415,Khatanga,RU,-33.71,71.98,102.47,60,0,6.08
416,Anadyr,RU,14,64.73,177.51,72,20,29.08
417,Ozernovskiy,RU,4.09,51.5,156.52,100,12,4.41
418,Alice Springs,AU,73.4,-23.7,133.88,29,0,7.54
419,Elbistan,TR,4.54,38.2,37.19,59,0,2.51
420,Turayf,SA,39.2,31.68,38.65,80,0,6.93
421,Lorengau,PG,83.16,-2.02,147.27,100,0,7.76
422,Kaeo,NZ,63.63,-35.1,173.78,96,88,2.17
423,Mehamn,NO,33.8,71.03,27.85,88,75,23.04
424,Gornyy,RU,5.44,51.76,48.54,76,68,6.87
425,Chillicothe,US,24.8,39.33,-82.98,73,90,6.93
426,Pio XII,BR,77.4,-3.89,-45.17,95,92,5.41
427,Tura,IN,50.76,25.52,90.21,80,0,2.62
428,Rocha,UY,72.67,-34.48,-54.34,78,92,11.34
429,Beyneu,KZ,14.04,45.32,55.19,99,48,4.63
430,Tarakan,ID,80.82,3.3,117.63,96,0,5.97
431,Oranjemund,ZA,64.08,-28.55,16.43,93,0,8.66
433,Clyde River,CA,-25.61,70.47,-68.59,74,20,4.7
434,Sargur,IN,61.96,11.98,76.42,55,0,3.96
435,Ayagoz,KZ,14.76,47.96,80.43,87,44,9.44
436,Dhanera,IN,56.47,24.51,72.02,72,0,2.95
437,Havre,US,44.06,48.55,-109.68,57,1,18.34
439,Itarema,BR,81.63,-2.92,-39.92,80,92,8.43
441,Lavrentiya,RU,-5.09,65.58,-170.99,98,0,22.19
442,La Romana,DO,82.4,18.43,-68.97,74,40,9.17
443,Charlestown,US,33.8,41.38,-71.64,55,90,13.87
444,Ambilobe,MG,72.63,-13.19,49.05,97,92,3.18
445,Pangnirtung,CA,-23.81,66.15,-65.72,67,5,2.24
446,Ternate,PH,78.8,14.29,120.72,78,40,2.24
447,Iranshahr,IR,64.4,27.21,60.69,52,0,4.7
448,Mubi,NG,73.71,10.27,13.26,29,0,5.64
450,San Luis,AR,68.85,-33.3,-66.34,37,12,12.8
451,Kuala Pilah,MY,82.4,2.74,102.25,74,75,9.17
452,Narsaq,GL,19.62,60.91,-46.05,83,92,4.41
454,Sinnamary,GF,79.56,5.38,-52.96,95,88,12.24
455,Molchanovo,RU,-15.89,57.58,83.76,47,0,4.85
456,Bonga,ET,61.06,7.26,36.25,65,0,1.39
457,Isparta,TR,41,37.77,30.56,75,40,9.17
458,Omboue,GA,81.54,-1.57,9.26,100,56,8.77
459,Dondo,MZ,84.2,-19.62,34.74,79,40,11.23
460,Shieli,KZ,27.27,44.18,66.74,90,20,12.24
461,Kamina,CD,73.98,-8.74,25,87,32,3.06
463,Hami,CN,9.27,42.84,93.51,59,76,0.6
464,Ahipara,NZ,63.76,-35.17,173.16,100,76,3.62
465,Port Lincoln,AU,64.17,-34.72,135.86,97,0,10.45
466,Axim,GH,83.97,4.87,-2.24,97,0,9.44
467,Belyy,RU,8.37,55.83,32.94,72,56,4.07
469,Mumford,GH,84.06,5.26,-0.76,69,0,10.22
470,Longyan,CN,59.89,25.1,117.03,100,92,1.83
471,Kiruna,SE,28.4,67.86,20.23,86,32,25.28
472,Kachug,RU,-13.73,53.96,105.89,38,20,2.51
473,Gwanda,ZW,73.26,-20.94,29,91,24,4.18
474,Vihari,PK,54.67,30.03,72.35,89,56,2.84
475,Kamaishi,JP,35.82,39.28,141.86,76,0,15.26
477,Gouvy,BE,33.8,50.19,5.95,81,75,3.74
478,Kyshtovka,RU,-15.58,56.56,76.62,46,24,3.06
479,Cockburn Town,TC,73.84,21.46,-71.14,100,68,7.76
480,Diamantino,BR,84.91,-14.4,-56.44,74,68,4.74
481,Yangambi,CD,75.37,0.77,24.47,94,32,2.17
482,Haines Junction,CA,-43.34,60.75,-137.51,0,8,1.95
483,Coahuayana,MX,77.94,18.62,-100.35,37,0,3.18
484,Matane,CA,26.6,48.83,-67.52,73,90,10.29
485,Mopipi,BW,84.37,-21.2,24.86,44,12,2.73
486,Sitka,US,49.68,37.17,-99.65,43,24,16.26
487,Kaniama,CD,73.89,-7.57,24.18,84,32,2.39
488,Baruun-Urt,MN,-0.01,46.68,113.28,67,0,13.8
489,Itoman,JP,66.2,26.12,127.67,88,75,5.82
490,Mirnyy,RU,14.44,56.57,36.46,83,80,6.53
491,Norman Wells,CA,-32.81,65.28,-126.83,73,90,8.05
